what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280867672150
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1280867676491
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280867676703
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1280867733241
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1280867741588
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1280867757526
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1280867770872
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280867780807
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280867782062
executed,command,net.genady.rmi,2.1.0.v20081001,"net.genady.rmi.launching.shortcut.run",1280867782069
executed,command,net.genady.rmi,2.1.0.v20081001,"net.genady.rmi.launching.shortcut.run",1280867799641
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280867801415
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280867803415
executed,command,net.genady.rmi,2.1.0.v20081001,"net.genady.rmi.launching.shortcut.run",1280867818944
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280867819503
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280867828980
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280867830814
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1280867842568
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1280867848954
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1280867851259
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280867865526
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280868005127
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1280868034298
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1280868048419
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1280868050803
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280868051800
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280868051934
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1280868058053
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280868058914
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280868059064
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1280868069167
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1280868072919
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1280868095270
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1280868099920
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1280868109045
executed,command,net.genady.rmi,2.1.0.v20081001,"net.genady.rmi.launching.shortcut.run",1280868110749
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280868111509
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280868149503
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280868149523
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1280868151127
